Prenda,Categoría,2018,2019,2020,2021,2022,2023,2024,% CAGR
Buzo,Cómodo,,,,,,,,
Hoodie / Polerón,Cómodo,,,,,,,,
Zapatilla,Cómodo,,,,,,,,
Vestido largo / midi,Cómodo,,,,,,,,
Top / Tank top,Cómodo,,,,,,,,
Falda mini,Ostentoso,,,,,,,,
Blazer,Ostentoso,,,,,,,,
Tacos,Ostentoso,,,,,,,,
Blusa,Ostentoso,,,,,,,,
Vestido mini,Ostentoso,,,,,,,,
,,,,,,,,,
AÑO,PIB %,Variación absoluta %,,,,,,,
2018,4,,,,,,,,
2019,"0,6","-3,40%",,,,,,,
2020,"-6,1","-6,70%",,,,,,,
2021,"11,3","17,40%",,,,,,,
2022,"2,2","-9,10%",,,,,,,
2023,"0,5","-1,70%",,,,,,,
2024,"2,6","2,10%",,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicadores sector comercio,,,,,,,,,
Fecha,"Vestuario, calzados y accesorios",,,,,,,,
2014,"70,62",,,,,,,,
2015,"79,7",,,,,,,,
2016,"86,54",,,,,,,,
2017,"95,89",,,,,,,,
2018,100,,,,,,,,
2019,"97,98",,,,,,,,
2020,"83,56",,,,,,,,
2021,"129,07",,,,,,,,
2022,"135,35",,,,,,,,
2023,"123,82",,,,,,,,
2024,"136,31",,,,,,,,
