Categoría: Ropa

Mes,buzo: (Chile),Polerón: (Chile),Zapatillas: (Chile),Top: (Chile)
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
2016-11,0,0,0,0
2016-12,0,0,0,0
2017-01,0,0,0,0
2017-02,0,0,0,0
2017-03,0,0,0,0
2017-04,0,0,0,0
2017-05,0,0,0,0
2017-06,0,0,0,0
2017-07,0,0,0,0
2017-08,0,0,0,0
2017-09,0,0,0,0
2017-10,0,0,0,0
2017-11,0,0,0,0
2017-12,0,0,0,0
2018-01,0,0,55,0
2018-02,0,0,74,0
2018-03,0,0,87,0
2018-04,0,0,0,0
2018-05,0,0,88,0
2018-06,0,0,83,0
2018-07,0,0,58,0
2018-08,0,0,66,0
2018-09,0,0,75,0
2018-10,0,0,68,0
2018-11,0,0,49,0
2018-12,0,0,56,0
2019-01,0,0,55,0
2019-02,0,0,68,0
2019-03,0,0,81,0
2019-04,0,0,49,0
2019-05,0,0,41,0
2019-06,0,0,46,0
2019-07,0,0,38,0
2019-08,0,0,48,0
2019-09,0,0,59,0
2019-10,0,0,67,0
2019-11,0,0,67,0
2019-12,0,0,69,0
2020-01,0,0,60,0
2020-02,0,0,82,0
2020-03,0,0,69,0
2020-04,0,0,47,0
2020-05,0,0,50,0
2020-06,2,0,49,0
2020-07,0,0,56,0
2020-08,1,0,97,2
2020-09,1,0,100,2
2020-10,0,0,60,0
2020-11,0,0,71,1
2020-12,1,0,72,1
2021-01,0,1,54,0
2021-02,0,0,61,0
2021-03,2,0,53,0
2021-04,2,0,60,0
2021-05,2,0,80,1
2021-06,2,0,73,1
2021-07,2,0,74,0
2021-08,1,0,82,1
2021-09,2,0,84,2
2021-10,0,0,89,1
2021-11,1,0,76,2
2021-12,2,0,84,2
2022-01,0,0,62,2
2022-02,1,0,82,2
2022-03,1,0,77,1
2022-04,1,0,74,1
2022-05,1,0,73,2
2022-06,1,0,65,2
2022-07,2,1,65,1
2022-08,1,0,84,1
2022-09,1,0,83,1
2022-10,1,0,87,1
2022-11,0,0,74,2
2022-12,1,0,84,2
2023-01,1,0,72,1
2023-02,1,0,92,2
2023-03,1,0,82,2
2023-04,1,0,80,2
2023-05,2,0,85,2
2023-06,2,1,79,1
2023-07,2,1,76,2
2023-08,2,1,84,2
2023-09,2,1,90,2
2023-10,1,1,92,2
2023-11,1,0,86,2
2023-12,1,<1,78,3
2024-01,1,<1,56,2
2024-02,1,<1,83,2
2024-03,1,1,81,2
2024-04,2,1,74,2
2024-05,2,1,71,2
2024-06,2,1,85,2
2024-07,2,1,70,1
2024-08,2,1,75,2
2024-09,1,1,93,2
2024-10,1,1,87,2
2024-11,1,1,83,2
2024-12,1,<1,87,3
