Categoría: Ropa

Mes,falda: (Chile),blazer: (Chile),zapatos: (Chile),blusa: (Chile)
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,100
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
2016-11,0,0,0,0
2016-12,0,0,0,0
2017-01,0,0,0,0
2017-02,0,0,0,0
2017-03,0,0,0,0
2017-04,0,0,0,0
2017-05,0,0,0,0
2017-06,0,0,0,0
2017-07,0,0,0,0
2017-08,0,0,0,0
2017-09,0,0,0,0
2017-10,0,0,0,0
2017-11,0,0,0,0
2017-12,0,0,0,0
2018-01,0,0,0,0
2018-02,0,0,0,0
2018-03,0,0,38,0
2018-04,0,49,0,0
2018-05,0,0,0,0
2018-06,0,0,35,0
2018-07,0,0,28,0
2018-08,0,0,24,0
2018-09,0,0,23,0
2018-10,0,0,25,0
2018-11,0,0,20,0
2018-12,0,0,18,0
2019-01,0,0,16,0
2019-02,0,0,27,0
2019-03,0,0,26,0
2019-04,0,0,16,0
2019-05,0,0,13,0
2019-06,0,0,13,0
2019-07,0,0,0,0
2019-08,0,0,0,0
2019-09,0,0,14,0
2019-10,0,0,9,0
2019-11,0,0,18,0
2019-12,6,0,14,0
2020-01,0,0,12,0
2020-02,0,0,18,0
2020-03,0,0,12,0
2020-04,0,0,11,0
2020-05,0,0,14,0
2020-06,0,0,14,0
2020-07,0,0,12,0
2020-08,1,0,13,0
2020-09,0,0,12,0
2020-10,1,0,10,0
2020-11,0,0,9,1
2020-12,1,1,9,0
2021-01,1,0,8,0
2021-02,0,1,10,0
2021-03,1,1,9,1
2021-04,0,0,12,1
2021-05,0,1,13,0
2021-06,0,1,14,0
2021-07,1,1,13,1
2021-08,1,2,13,0
2021-09,1,2,14,1
2021-10,2,2,17,1
2021-11,2,2,14,1
2021-12,2,2,13,1
2022-01,1,1,11,1
2022-02,1,1,16,0
2022-03,1,2,15,1
2022-04,1,2,16,1
2022-05,1,1,16,0
2022-06,1,2,16,0
2022-07,1,1,14,1
2022-08,1,2,15,1
2022-09,1,2,14,1
2022-10,2,3,16,1
2022-11,2,2,15,1
2022-12,3,2,12,1
2023-01,2,1,14,1
2023-02,2,1,18,1
2023-03,1,2,17,1
2023-04,1,2,17,1
2023-05,1,1,15,1
2023-06,1,2,14,1
2023-07,1,2,13,1
2023-08,1,2,14,1
2023-09,2,2,15,1
2023-10,2,2,14,1
2023-11,2,3,14,1
2023-12,3,2,10,1
2024-01,2,1,10,1
2024-02,2,1,15,1
2024-03,2,1,14,1
2024-04,1,2,12,1
2024-05,1,1,13,<1
2024-06,1,1,13,<1
2024-07,2,1,11,0
2024-08,1,2,11,1
2024-09,2,2,11,1
2024-10,2,2,12,1
2024-11,2,2,11,1
2024-12,3,2,11,1
