CategorÃ­a: Todas las categorÃ­as

Mes,zapatillas: (Chile),zapatos: (Chile),top: (Chile),blazer: (Chile)
2014-01,13,15,24,1
2014-02,15,18,24,1
2014-03,17,20,20,1
2014-04,15,21,22,1
2014-05,16,22,21,1
2014-06,14,21,21,1
2014-07,16,19,23,1
2014-08,18,20,24,1
2014-09,19,19,24,1
2014-10,18,21,27,1
2014-11,19,21,26,2
2014-12,23,19,31,1
2015-01,17,18,25,1
2015-02,21,22,22,1
2015-03,20,23,20,1
2015-04,20,28,20,1
2015-05,20,26,19,1
2015-06,19,25,21,1
2015-07,19,23,20,1
2015-08,23,24,20,1
2015-09,26,23,19,2
2015-10,26,25,19,2
2015-11,23,24,18,2
2015-12,28,23,21,2
2016-01,20,19,20,1
2016-02,23,23,22,1
2016-03,23,24,16,2
2016-04,22,29,17,1
2016-05,22,26,17,2
2016-06,22,24,17,1
2016-07,26,23,18,1
2016-08,27,22,15,2
2016-09,35,25,16,2
2016-10,29,25,17,2
2016-11,27,25,17,2
2016-12,34,23,19,2
2017-01,22,20,19,1
2017-02,26,25,18,1
2017-03,26,26,15,1
2017-04,25,27,15,1
2017-05,23,27,15,1
2017-06,21,23,13,1
2017-07,24,23,15,1
2017-08,27,24,13,2
2017-09,34,25,15,2
2017-10,30,27,14,2
2017-11,33,28,14,3
2017-12,40,24,16,2
2018-01,27,22,16,1
2018-02,33,27,15,2
2018-03,31,28,13,2
2018-04,27,29,13,2
2018-05,30,31,13,2
2018-06,24,26,14,1
2018-07,27,23,13,2
2018-08,31,25,13,2
2018-09,40,27,14,2
2018-10,38,30,14,3
2018-11,29,27,14,3
2018-12,42,24,16,2
2019-01,27,22,15,2
2019-02,32,25,13,2
2019-03,36,29,13,2
2019-04,31,26,12,2
2019-05,35,30,13,2
2019-06,29,25,13,2
2019-07,31,23,16,3
2019-08,37,24,14,3
2019-09,41,25,14,3
2019-10,38,24,14,2
2019-11,33,22,15,2
2019-12,48,25,18,2
2020-01,34,23,15,2
2020-02,38,26,16,2
2020-03,28,18,15,1
2020-04,27,19,16,1
2020-05,32,21,17,1
2020-06,33,23,17,1
2020-07,37,21,16,1
2020-08,80,25,17,2
2020-09,79,24,18,2
2020-10,56,22,17,2
2020-11,67,23,17,2
2020-12,69,23,19,2
2021-01,55,19,18,2
2021-02,51,21,17,2
2021-03,49,22,15,2
2021-04,46,24,15,2
2021-05,70,30,16,2
2021-06,64,28,17,2
2021-07,58,26,17,3
2021-08,64,26,16,4
2021-09,65,28,15,4
2021-10,73,29,15,5
2021-11,58,25,16,5
2021-12,74,28,18,5
2022-01,53,26,19,4
2022-02,67,31,18,4
2022-03,65,33,17,4
2022-04,57,34,16,5
2022-05,63,32,24,4
2022-06,56,30,28,4
2022-07,55,30,23,4
2022-08,70,31,20,5
2022-09,67,33,19,5
2022-10,81,34,20,6
2022-11,67,32,18,6
2022-12,84,31,23,5
2023-01,65,30,24,4
2023-02,79,37,20,4
2023-03,72,34,18,5
2023-04,68,33,16,5
2023-05,76,36,17,4
2023-06,65,32,17,4
2023-07,68,31,18,4
2023-08,70,30,19,5
2023-09,75,33,18,5
2023-10,91,33,19,6
2023-11,83,32,19,7
2023-12,99,31,21,6
2024-01,70,28,26,4
2024-02,76,29,29,4
2024-03,71,29,25,4
2024-04,65,29,18,4
2024-05,59,31,20,4
2024-06,72,31,20,3
2024-07,62,26,18,4
2024-08,67,27,18,4
2024-09,87,29,19,5
2024-10,80,29,21,6
2024-11,77,29,26,7
2024-12,100,28,31,6
