CategorÃ­a: Todas las categorÃ­as

Mes,blusa: (Chile),poleron: (Chile),buzo: (Chile),falda: (Chile)
2014-01,3,6,7,11
2014-02,3,8,10,12
2014-03,3,11,9,11
2014-04,2,11,9,11
2014-05,3,11,9,12
2014-06,2,11,10,10
2014-07,3,10,9,11
2014-08,4,10,10,16
2014-09,5,8,9,17
2014-10,5,7,8,16
2014-11,5,6,8,16
2014-12,5,8,11,18
2015-01,4,6,9,16
2015-02,4,9,11,14
2015-03,3,11,11,13
2015-04,3,11,10,12
2015-05,3,12,12,13
2015-06,3,14,12,12
2015-07,3,12,12,12
2015-08,4,13,13,17
2015-09,6,9,11,20
2015-10,6,9,9,18
2015-11,5,7,9,18
2015-12,5,8,10,19
2016-01,4,6,7,15
2016-02,4,8,9,15
2016-03,4,12,10,14
2016-04,4,13,10,15
2016-05,4,13,10,15
2016-06,4,14,9,14
2016-07,4,13,9,15
2016-08,6,11,8,19
2016-09,7,10,9,22
2016-10,7,9,8,20
2016-11,7,7,8,20
2016-12,6,10,8,20
2017-01,5,7,7,16
2017-02,4,11,10,16
2017-03,5,13,11,14
2017-04,5,15,10,14
2017-05,4,16,10,14
2017-06,4,16,10,13
2017-07,5,15,9,14
2017-08,7,14,9,21
2017-09,8,13,11,24
2017-10,8,12,8,21
2017-11,7,10,8,19
2017-12,7,12,8,20
2018-01,5,11,9,17
2018-02,5,13,12,15
2018-03,5,18,13,14
2018-04,5,19,12,14
2018-05,5,29,12,16
2018-06,4,21,12,14
2018-07,4,20,13,14
2018-08,8,17,11,21
2018-09,9,16,11,23
2018-10,7,16,10,20
2018-11,7,12,9,20
2018-12,7,15,10,20
2019-01,5,12,10,15
2019-02,5,15,13,15
2019-03,5,23,17,15
2019-04,5,23,13,14
2019-05,5,25,13,14
2019-06,4,24,13,14
2019-07,4,23,13,16
2019-08,6,21,13,21
2019-09,7,20,12,22
2019-10,6,16,9,18
2019-11,6,14,9,19
2019-12,7,19,11,22
2020-01,5,14,10,17
2020-02,5,23,14,18
2020-03,4,19,13,12
2020-04,3,23,19,9
2020-05,3,34,25,9
2020-06,3,39,30,9
2020-07,3,41,24,9
2020-08,4,44,27,10
2020-09,6,39,24,13
2020-10,6,25,16,16
2020-11,6,27,16,17
2020-12,8,30,17,26
2021-01,5,25,13,18
2021-02,6,32,19,15
2021-03,5,36,21,11
2021-04,4,47,25,10
2021-05,5,65,31,11
2021-06,5,66,29,11
2021-07,5,59,24,12
2021-08,7,57,25,15
2021-09,9,42,21,18
2021-10,10,41,23,22
2021-11,9,33,17,21
2021-12,11,42,21,25
2022-01,8,41,17,21
2022-02,8,52,29,21
2022-03,9,66,31,17
2022-04,8,70,26,15
2022-05,7,82,29,16
2022-06,6,79,27,15
2022-07,6,70,26,15
2022-08,9,68,25,22
2022-09,12,56,23,24
2022-10,13,57,23,27
2022-11,13,43,18,24
2022-12,15,48,20,30
2023-01,10,44,20,24
2023-02,10,58,25,28
2023-03,11,64,25,19
2023-04,9,85,27,19
2023-05,8,98,34,18
2023-06,7,91,31,18
2023-07,8,91,31,20
2023-08,11,74,24,25
2023-09,12,72,24,27
2023-10,14,71,26,30
2023-11,14,63,21,26
2023-12,18,68,26,40
2024-01,11,48,22,30
2024-02,10,59,25,30
2024-03,10,76,26,23
2024-04,9,90,32,22
2024-05,7,97,36,20
2024-06,7,100,40,22
2024-07,8,85,29,22
2024-08,11,82,30,26
2024-09,14,78,29,26
2024-10,15,64,27,31
2024-11,15,51,23,32
2024-12,18,69,28,40
