IPC: Índices de divisiones, base promedio 2023=100, serie referencial;;;;;;;;;;;;;
;;;;;;;;;;;;;
Frecuencia;MENSUAL;;;;;;;;;;;;
Fuente;Instituto Nacional de Estadísticas;;;;;;;;;;;;
Desfase publicación;8 días terminado el mes;;;;;;;;;;;;
Última actualización;08-09-2025;;;;;;;;;;;;
Primera observación;01-01-2023;;;;;;;;;;;;
Última observación;01-08-2025;;;;;;;;;;;;
Contacto;"contactocentral.bcentral.cl
https://contactocentral.bcentral.cl/";;;;;;;;;;;;
Notas;;;;;;;;;;;;;
;;;;;;;;;;;;;
Reg;Descripción series;ene.2024;feb.2024;mar.2024;abr.2024;may.2024;jun.2024;jul.2024;ago.2024;sept.2024;oct.2024;nov.2024;dic.2024
12.;División - Vestuario y calzado;96,14;98,52;97,65;95,81;97,62;91,68;93,48;95,70;98,88;95,94;97,22;95,98
