;;Índice de Precios al Consumidor (IPC) Vestuario y Calzado;;
;;Cobertura Nacional 2014-2023;;
;;;;
Año;Mes;Índice;Variación Mensual (%);
2014;1;81,68;-0,4;
2014;1;73,42;0,4;
2014;Enero;121,73;-2,8;
2014;1;81,84;0,4;
2014;1;86,05;0,1;
2014;1;81,63;0,9;
2014;1;94,65;1,1;
2014;1;101,31;0;
2014;1;94,5;0,8;
2014;1;80,07;0;
2014;1;79,16;0,8;
2014;1;79,23;-0,1;
2014;2;82,01;0,4;
2014;2;73,44;0;
2014;Febrero;122,94;1;
2014;2;82,69;1;
2014;2;86,41;0,4;
2014;2;81,58;-0,1;
2014;2;96,22;1,7;
2014;2;100,69;-0,6;
2014;2;93,68;-0,9;
2014;2;80,1;0;
2014;2;79,23;0,1;
2014;2;79,61;0,5;
2014;3;82,66;0,8;
2014;3;74,46;1,4;
2014;Marzo;124,61;1,4;
2014;3;82,92;0,3;
2014;3;86,93;0,6;
2014;3;81,57;0;
2014;3;96,42;0,2;
2014;3;100,34;-0,3;
2014;3;93,99;0,3;
2014;3;84,01;4,9;
2014;3;79,86;0,8;
2014;3;80,05;0,6;
2014;4;83,37;0,9;
2014;4;75,62;1,6;
2014;Abril;124,44;-0,1;
2014;4;83,35;0,5;
2014;4;87,81;1;
2014;4;83;1,8;
2014;4;96,59;0,2;
2014;4;100,82;0,5;
2014;4;94,62;0,7;
2014;4;84,03;0;
2014;4;79,97;0,1;
2014;4;80,67;0,8;
2014;5;83,77;0,5;
2014;5;76,58;1,3;
2014;Mayo;123,69;-0,6;
2014;5;83,75;0,5;
2014;5;88,17;0,4;
2014;5;83,43;0,5;
2014;5;96,68;0,1;
2014;5;100,85;0;
2014;5;95,07;0,5;
2014;5;84,11;0,1;
2014;5;80,09;0,1;
2014;5;81,08;0,5;
2014;6;84,05;0,3;
2014;6;76,53;-0,1;
2014;Junio;121,19;-2;
2014;6;83,61;-0,2;
2014;6;88,51;0,4;
2014;6;83,42;0;
2014;6;96,93;0,3;
2014;6;100,61;-0,2;
2014;6;95,23;0,2;
2014;6;84,11;0;
2014;6;80,49;0,5;
2014;6;81,23;0,2;
2014;7;84,77;0,9;
2014;7;77,07;0,7;
2014;Julio;116,26;-4,1;
2014;7;83,84;0,3;
2014;7;88,78;0,3;
2014;7;83,24;-0,2;
2014;7;97,97;1,1;
2014;7;100,21;-0,4;
2014;7;95,23;0;
2014;7;84,11;0;
2014;7;80,84;0,4;
2014;7;81,3;0,1;
2014;8;85,5;0,9;
2014;8;78,45;1,8;
2014;Agosto;119,19;2,5;
2014;8;84,12;0,3;
2014;8;88,88;0,1;
2014;8;83,6;0,4;
2014;8;97,47;-0,5;
2014;8;99,31;-0,9;
2014;8;95,13;-0,1;
2014;8;84,12;0;
2014;8;81,17;0,4;
2014;8;81,52;0,3;
2014;9;87,29;2,1;
2014;9;78,21;-0,3;
2014;Septiembre;119,59;0,3;
2014;9;84,25;0,2;
2014;9;89,16;0,3;
2014;9;83,84;0,3;
2014;9;99,3;1,9;
2014;9;99,33;0;
2014;9;95,41;0,3;
2014;9;84,12;0;
2014;9;81,98;1;
2014;9;81,78;0,3;
2014;10;90,28;3,4;
2014;10;80,84;3,4;
2014;Octubre;117,76;-1,5;
2014;10;84,65;0,5;
2014;10;89,53;0,4;
2014;10;84,34;0,6;
2014;10;99,84;0,5;
2014;10;99,21;-0,1;
2014;10;95,43;0;
2014;10;84,21;0,1;
2014;10;83,02;1,3;
2014;10;82,17;0,5;
2014;11;89,82;-0,5;
2014;11;81,56;0,9;
2014;Noviembre;117,28;-0,4;
2014;11;85,18;0,6;
2014;11;89,51;0;
2014;11;84,58;0,3;
2014;11;99,04;-0,8;
2014;11;99,21;0;
2014;11;94,99;-0,5;
2014;11;84,21;0;
2014;11;83,69;0,8;
2014;11;83,56;1,7;
2014;12;89,31;-0,6;
2014;12;81,19;-0,5;
2014;Diciembre;116,45;-0,7;
2014;12;84,59;-0,7;
2014;12;89,56;0;
2014;12;84,52;-0,1;
2014;12;97,43;-1,6;
2014;12;98,98;-0,2;
2014;12;95,4;0,4;
2014;12;84,21;0;
2014;12;84,13;0,5;
2014;12;84,03;0,6;
2015;1;89,42;0,1;
2015;1;84,4;4;
2015;Enero;113,21;-2,8;
2015;1;84,52;-0,1;
2015;1;90,13;0,6;
2015;1;85,74;1,4;
2015;1;95,89;-1,6;
2015;1;99,29;0,3;
2015;1;96,15;0,8;
2015;1;84,23;0;
2015;1;84,7;0,7;
2015;1;84,29;0,3;
2015;2;89,21;-0,2;
2015;2;84,92;0,6;
2015;Febrero;114,41;1,1;
2015;2;86,53;2,4;
2015;2;90,69;0,6;
2015;2;86,01;0,3;
2015;2;95,69;-0,2;
2015;2;99,42;0,1;
2015;2;94,98;-1,2;
2015;2;84,25;0;
2015;2;85,12;0,5;
2015;2;84,53;0,3;
2015;3;89,27;0,1;
2015;3;85,07;0,2;
2015;Marzo;115,18;0,7;
2015;3;86,88;0,4;
2015;3;91,24;0,6;
2015;3;86,47;0,5;
2015;3;95,57;-0,1;
2015;3;99,22;-0,2;
2015;3;95,18;0,2;
2015;3;88,59;5,1;
2015;3;85,43;0,4;
2015;3;84,91;0,4;
2015;4;90,02;0,8;
2015;4;85,44;0,4;
2015;Abril;114,42;-0,7;
2015;4;87,01;0,1;
2015;4;92,37;1,2;
2015;4;87,84;1,6;
2015;4;96,33;0,8;
2015;4;99,45;0,2;
2015;4;95,63;0,5;
2015;4;88,6;0;
2015;4;85,86;0,5;
2015;4;85,27;0,4;
2015;5;90,2;0,2;
2015;5;85,33;-0,1;
2015;Mayo;114,25;-0,1;
2015;5;87,26;0,3;
2015;5;92,79;0,5;
2015;5;88,4;0,6;
2015;5;96,27;-0,1;
2015;5;99,28;-0,2;
2015;5;95,25;-0,4;
2015;5;88,62;0;
2015;5;86,28;0,5;
2015;5;85,86;0,7;
2015;6;90,35;0,2;
2015;6;86,49;1,4;
2015;Junio;113,32;-0,8;
2015;6;88,12;1;
2015;6;93,15;0,4;
2015;6;88,54;0,1;
2015;6;97,56;1,3;
2015;6;99,18;-0,1;
2015;6;96,12;0,9;
2015;6;88,66;0;
2015;6;86,86;0,7;
2015;6;85,62;-0,3;
2015;7;91,13;0,9;
2015;7;86,82;0,4;
2015;Julio;111,39;-1,7;
2015;7;88,45;0,4;
2015;7;93,49;0,4;
2015;7;88,8;0,3;
2015;7;98,53;1;
2015;7;98,95;-0,2;
2015;7;96,11;0;
2015;7;88,63;0;
2015;7;86,98;0,1;
2015;7;86,45;1;
