Año;Mes;Buzo;Polerón;Zapatillas;Top;Falda;Blusa;Zapatos;Bláiser;IPC Vestuario y Calzado;Variación Mensual (%)
2014;Enero;7;5;12;23;11;3;15;1;121,73;-2,8
2014;Febrero;10;8;14;23;12;3;18;1;122,94;1
2014;Marzo;9;11;16;20;10;3;20;1;124,61;1,4
2014;Abril;8;11;15;21;12;2;20;1;124,44;-0,1
2014;Mayo;10;11;14;22;12;3;22;1;123,69;-0,6
2014;Junio;10;11;13;20;10;2;20;1;121,19;-2
2014;Julio;9;10;15;24;11;3;19;1;116,26;-4,1
2014;Agosto;10;10;18;23;16;4;18;1;119,19;2,5
2014;Septiembre;9;8;19;24;17;5;20;1;119,59;0,3
2014;Octubre;8;7;18;26;16;5;22;1;117,76;-1,5
2014;Noviembre;7;6;18;26;16;5;21;1;117,28;-0,4
2014;Diciembre;11;8;22;30;18;5;19;1;116,45;-0,7
2015;Enero;9;6;17;25;16;4;18;1;113,21;-2,8
2015;Febrero;10;9;19;23;14;3;21;1;114,41;1,1
2015;Marzo;11;11;19;20;13;3;23;1;115,18;0,7
2015;Abril;10;11;20;19;12;3;27;1;114,42;-0,7
2015;Mayo;12;12;20;19;13;3;26;1;114,25;-0,1
2015;Junio;12;14;19;19;12;3;24;1;113,32;-0,8
2015;Julio;12;12;19;19;12;3;23;1;111,39;-1,7
2015;Agosto;13;13;23;19;17;5;24;1;115,1;3,3
2015;Septiembre;10;9;25;19;20;5;23;1;115,69;0,6
2015;Octubre;9;9;25;19;18;6;24;2;115;-0,6
2015;Noviembre;9;8;24;18;19;5;24;2;114,38;-0,5
2015;Diciembre;10;8;28;20;19;5;23;2;113,82;-0,5
2016;Enero;7;6;20;20;15;4;19;1;113,88;0,1
2016;Febrero;10;8;23;19;15;4;24;1;115,98;1,8
2016;Marzo;10;12;23;17;14;4;23;1;116,3;0,3
2016;Abril;10;13;22;17;15;4;29;1;116,03;-0,2
2016;Mayo;9;14;22;16;15;4;25;1;115,54;-0,4
2016;Junio;9;13;21;16;14;4;23;1;113,16;-2,1
2016;Julio;9;13;24;18;15;4;23;1;112,78;-0,3
2016;Agosto;8;11;26;17;20;6;21;1;114,43;1,5
2016;Septiembre;8;10;34;16;22;7;24;2;113,85;-0,5
2016;Octubre;8;9;28;17;19;6;25;2;113,05;-0,7
2016;Noviembre;7;7;26;17;20;7;24;2;111,89;-1
2016;Diciembre;8;10;35;18;20;6;23;2;110,88;-0,9
2017;Enero;7;7;22;18;16;5;20;1;110,57;-0,3
2017;Febrero;10;11;26;17;16;4;25;1;111,32;0,7
2017;Marzo;11;13;27;15;14;5;26;1;111,11;-0,2
