Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÍNDICE DE ACTIVIDAD DEL COMERCIO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIFRAS A PRECIOS CONSTANTES POR CLASE CIIU4.CL 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASE PROMEDIO AÑO 2014 = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Octubre 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mes y año;Índice general/Ref/P/R;Clase 4510;Clase 4530;Clase 4620;Clase 4630;Clase 4641;Clase 4649;Clase 4650;Clase 4661;Clase 4663;Clase 4669;Clase 4690;Clase 4711;Clase 4719;Clase 4720;Clase 4730;Clase 4740;Clase 4752;Clase 4759;Clase 4760;Clase 4771;Clase 4772;Clase 4773;;;;;;;;
;ene-14;93,83;99,89;103,84;97,30;85,23;92,43;95,07;92,85;101,05;102,03;80,47;102,08;93,19;88,65;94,59;105,51;83,28;107,91;86,45;93,26;82,74;95,45;92,96;;;;;;;;
;feb-14;89,71;83,87;99,03;89,97;90,60;93,01;87,32;87,60;92,78;91,60;81,36;91,01;92,19;88,51;92,53;105,86;78,57;98,93;82,99;108,93;92,58;85,29;87,67;;;;;;;;
;mar-14;103,02;103,17;101,90;115,87;115,41;111,98;99,95;102,41;99,86;105,08;94,61;102,59;103,91;98,86;102,46;103,77;95,77;107,70;100,52;133,07;97,15;100,73;95,33;;;;;;;;
;abr-14;97,58;91,15;102,81;98,02;109,28;96,40;100,77;96,46;98,28;105,01;99,25;100,98;96,39;91,74;98,57;102,39;86,96;103,39;91,91;87,87;94,01;94,87;95,32;;;;;;;;
;may-14;98,18;95,44;96,89;103,83;100,51;94,51;99,31;90,91;99,22;101,34;91,37;93,78;99,67;105,85;101,30;96,57;93,12;99,18;102,96;88,45;101,89;99,16;103,55;;;;;;;;
;jun-14;93,81;84,31;96,82;93,68;91,68;78,03;91,22;99,47;100,32;91,60;88,22;89,28;96,83;96,85;93,89;96,37;83,24;88,35;96,43;85,98;88,75;96,90;100,40;;;;;;;;
;jul-14;94,87;87,66;102,27;103,19;90,70;93,51;95,51;91,64;105,79;97,96;97,66;100,08;94,11;91,19;95,27;94,91;91,08;95,62;90,25;88,08;93,01;101,91;107,94;;;;;;;;
;ago-14;97,12;99,54;96,12;101,54;93,63;104,55;94,02;90,53;99,91;95,92;113,23;94,71;103,71;92,62;100,90;103,25;101,30;94,24;98,40;91,68;90,83;99,50;101,66;;;;;;;;
;sep-14;99,26;121,48;93,65;116,67;96,23;103,95;102,90;103,72;91,78;90,56;120,62;97,71;98,05;80,42;105,36;96,39;89,71;88,32;89,47;81,86;88,85;97,54;96,08;;;;;;;;
;oct-14;102,88;99,69;102,28;98,42;90,28;118,22;117,76;106,27;99,30;109,67;121,48;101,88;100,86;94,85;97,83;100,76;99,34;106,57;95,05;95,51;96,68;110,00;100,26;;;;;;;;
;nov-14;101,36;98,52;99,40;88,14;94,48;99,94;115,44;103,01;100,63;104,49;107,16;106,18;99,73;102,56;94,40;93,06;128,11;102,53;101,77;100,07;99,79;97,86;97,71;;;;;;;;
;dic-14;128,38;135,28;105,00;93,37;141,96;113,48;100,74;135,12;111,07;104,74;104,58;119,71;121,37;167,91;122,89;101,16;169,54;107,25;163,80;145,24;173,72;120,80;121,13;;;;;;;;
;ene-15;96,88;78,99;104,01;84,26;97,03;111,20;97,80;91,95;117,67;103,83;93,00;99,95;97,81;97,82;95,17;103,22;111,56;110,63;95,20;95,91;105,00;101,90;91,60;;;;;;;;
;feb-15;91,91;70,00;92,99;75,23;95,23;106,34;88,63;87,56;105,05;95,80;91,75;94,27;95,11;95,93;92,57;101,36;99,24;101,20;88,40;112,86;113,77;91,27;85,84;;;;;;;;
;mar-15;106,10;95,85;101,99;86,86;121,14;128,42;110,27;108,87;101,48;111,08;95,32;110,49;104,59;98,75;102,92;106,44;124,48;109,10;102,62;132,70;111,99;105,00;93,58;;;;;;;;
;abr-15;100,57;95,38;101,58;90,76;100,36;124,55;107,85;95,62;104,45;114,25;104,75;109,04;97,92;97,31;99,42;100,67;111,68;108,13;93,94;94,46;106,03;101,66;91,75;;;;;;;;
;may-15;98,30;87,00;97,73;72,93;91,58;95,04;100,09;90,96;106,12;103,41;94,48;100,50;103,17;111,09;100,49;95,74;104,32;98,14;97,68;86,51;120,78;99,76;97,25;;;;;;;;
;jun-15;98,56;89,88;99,47;79,80;91,98;88,74;103,53;105,10;103,36;102,95;92,52;100,12;97,76;98,03;97,65;93,61;113,82;98,43;93,53;82,24;105,88;99,98;99,92;;;;;;;;
;jul-15;99,03;88,82;102,31;87,84;92,24;119,86;103,53;95,84;105,77;109,39;110,18;113,58;97,18;94,24;97,79;97,84;123,35;97,43;93,38;86,57;106,80;101,95;102,67;;;;;;;;
;ago-15;100,55;99,37;101,60;84,87;91,25;116,32;103,46;96,42;109,54;103,41;125,12;110,02;102,81;95,88;97,74;86,88;127,41;94,59;97,11;88,09;102,59;101,32;101,89;;;;;;;;
;sep-15;101,89;125,63;105,46;92,49;91,53;121,67;108,44;96,61;111,38;100,82;127,82;108,20;97,61;85,57;102,85;89,82;118,53;93,73;92,74;85,15;99,31;100,56;97,69;;;;;;;;
