AÑO,GLOSA,ÍNDICE,,,,,,,,
2014-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,81.68,,,,,,,,
2014-01,BEBIDAS ALCOHÓLICAS Y TABACO,73.42,,,,,,,,
2014-01,VESTUARIO Y CALZADO,121.73,,,,,,,,
2014-01,RECREACIÓN Y CULTURA,94.5,,,,,,,,
2014-01,RESTAURANTES Y HOTELES,79.16,,,,,,,,
2014-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,82.01,,,,,,,,
2014-02,BEBIDAS ALCOHÓLICAS Y TABACO,73.44,,,,,,,,
2014-02,VESTUARIO Y CALZADO,122.94,,,,,,,,
2014-02,RECREACIÓN Y CULTURA,93.68,,,,,,,,
2014-02,RESTAURANTES Y HOTELES,79.23,,,,,,,,
2014-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,82.66,,,,,,,,
2014-03,BEBIDAS ALCOHÓLICAS Y TABACO,74.46,,,,,,,,
2014-03,VESTUARIO Y CALZADO,124.61,,,,,,,,
2014-03,RECREACIÓN Y CULTURA,93.99,,,,,,,,
2014-03,RESTAURANTES Y HOTELES,79.86,,,,,,,,
2014-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,83.37,,,,,,,,
2014-04,BEBIDAS ALCOHÓLICAS Y TABACO,75.62,,,,,,,,
2014-04,VESTUARIO Y CALZADO,124.44,,,,,,,,
2014-04,RECREACIÓN Y CULTURA,94.62,,,,,,,,
2014-04,RESTAURANTES Y HOTELES,79.97,,,,,,,,
2014-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,83.77,,,,,,,,
2014-05,BEBIDAS ALCOHÓLICAS Y TABACO,76.58,,,,,,,,
2014-05,VESTUARIO Y CALZADO,123.69,,,,,,,,
2014-05,RECREACIÓN Y CULTURA,95.07,,,,,,,,
2014-05,RESTAURANTES Y HOTELES,80.09,,,,,,,,
2014-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,84.05,,,,,,,,
2014-06,BEBIDAS ALCOHÓLICAS Y TABACO,76.53,,,,,,,,
2014-06,VESTUARIO Y CALZADO,121.19,,,,,,,,
2014-06,RECREACIÓN Y CULTURA,95.23,,,,,,,,
2014-06,RESTAURANTES Y HOTELES,80.49,,,,,,,,
2014-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,84.77,,,,,,,,
2014-07,BEBIDAS ALCOHÓLICAS Y TABACO,77.07,,,,,,,,
2014-07,VESTUARIO Y CALZADO,116.26,,,,,,,,
2014-07,RECREACIÓN Y CULTURA,95.23,,,,,,,,
2014-07,RESTAURANTES Y HOTELES,80.84,,,,,,,,
2014-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,85.5,,,,,,,,
2014-08,BEBIDAS ALCOHÓLICAS Y TABACO,78.45,,,,,,,,
2014-08,VESTUARIO Y CALZADO,119.19,,,,,,,,
2014-08,RECREACIÓN Y CULTURA,95.13,,,,,,,,
2014-08,RESTAURANTES Y HOTELES,81.17,,,,,,,,
2014-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,87.29,,,,,,,,
2014-09,BEBIDAS ALCOHÓLICAS Y TABACO,78.21,,,,,,,,
2014-09,VESTUARIO Y CALZADO,119.59,,,,,,,,
2014-09,RECREACIÓN Y CULTURA,95.41,,,,,,,,
2014-09,RESTAURANTES Y HOTELES,81.98,,,,,,,,
2014-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,90.28,,,,,,,,
2014-10,BEBIDAS ALCOHÓLICAS Y TABACO,80.84,,,,,,,,
2014-10,VESTUARIO Y CALZADO,117.76,,,,,,,,
2014-10,RECREACIÓN Y CULTURA,95.43,,,,,,,,
